income,age,loan,default
66155.9251,59.01701507,8106.532131,0
34415.15397,48.1171531,6564.745018,0
57317.17006,63.10804949,8020.953296,0
42709.5342,45.75197235,6103.64226,0
66952.68885,18.58433593,8770.099235,1
24904.06414,57.4716071,15.49859844,0
48430.35961,26.80913242,5722.581981,0
24500.14198,32.89754832,2971.00331,1
40654.89254,55.49685254,4755.82528,0
25075.87277,39.77637806,1409.230371,0
64131.41537,25.67957535,4351.028971,0
59436.84712,60.47193585,9254.244538,0
61050.34608,26.35504385,5893.264659,0
27267.99546,61.57677582,4759.787581,0
63061.96017,39.20155289,1850.369377,0
43548.65471,39.57453035,3935.544453,0
43378.17519,60.84831794,3277.737553,0
20542.36507,61.69057071,3157.44229,0
58887.35755,26.07609302,4965.516066,0
23000.784,31.76135417,1148.118057,0
23329.31941,48.57697453,222.6222987,0
27845.80089,51.9706241,4959.921226,0
65301.98403,48.84092177,5465.267886,0
47451.63012,27.03174131,5361.282716,0
45727.45987,55.83992185,6376.822949,0
58842.89131,54.51094756,10871.18679,0
67252.90061,38.13190746,4221.303157,0
58886.85129,38.66150424,7271.552032,0
57584.97379,36.67202092,1728.423755,0
26289.97231,20.66677873,341.146966,0
25952.38147,58.1850173,2109.200772,0
32464.09188,50.22500592,4326.705073,0
60921.0631,18.84052576,968.8363827,0
26578.53669,32.67604425,3489.843136,1
66260.12156,32.89669307,7035.589107,0
58787.45524,62.64130285,4167.786724,0
62545.70871,49.04043324,4362.905812,0
24381.95345,25.25233071,4227.018986,1
67852.10587,47.32189906,5730.588251,0
41725.61286,18.13003836,1185.2147,0
41896.9716,47.25073103,4892.209734,0
44379.72965,50.08867129,1814.335082,0
28416.89938,57.9287193,1788.973736,0
68427.16311,46.30824019,1658.070233,0
35975.79493,35.70865177,6610.366179,0
57596.3541,29.2460566,3344.384401,0
29681.88309,54.95928719,1745.871674,0
51656.93867,47.7150637,7158.13906,0
24912.84268,49.3663712,267.6962986,0
47761.82407,50.09815907,5549.799128,0
22248.1792,23.44362417,4364.975281,1
29724.47688,31.9685264,3075.345728,0
52143.82367,20.83763392,2393.099679,0
56577.72286,36.84780068,5947.421721,0
37660.77072,53.74506047,2129.597165,0
37403.7954,47.9441217,2044.047045,0
31652.69373,62.02380247,5151.070445,0
32727.70073,34.47487101,1087.919364,0
69078.60481,25.10752405,4076.583914,0
40622.19487,41.52718879,4949.902333,0
37521.01717,60.54107743,8.012076247,0
30735.8085,22.24209774,5946.822297,1
24857.69488,21.59867635,2692.163459,0
33180.20159,49.56597728,4621.997742,0
66628.26009,52.38387344,5992.885092,0
38564.93213,21.21649167,5604.16999,1
33704.5085,33.18310623,5898.000893,1
57018.48483,44.82571531,3507.252166,0
40526.90279,28.60637596,2119.984911,0
